subzone,planning_area,region,venue_type,avg_weekday_footfall,avg_weekend_footfall,number_of_places
ANCHORVALE,SENGKANG,NORTH-EAST REGION,APPAREL,0.0,0.0,0
ANCHORVALE,SENGKANG,NORTH-EAST REGION,ARTS,0.0,0.0,0
ANCHORVALE,SENGKANG,NORTH-EAST REGION,CAFE,38.333333333333336,44.06666666666666,3
ANCHORVALE,SENGKANG,NORTH-EAST REGION,CLUBS,0.0,0.0,0
ANCHORVALE,SENGKANG,NORTH-EAST REGION,DOCTOR,17.83,6.04,1
ANCHORVALE,SENGKANG,NORTH-EAST REGION,PERSONAL_CARE,21.39,11.806666666666667,3
ANCHORVALE,SENGKANG,NORTH-EAST REGION,RESTAURANT,29.863333333333333,32.776666666666664,3
ANCHORVALE,SENGKANG,NORTH-EAST REGION,SCHOOL,0.0,0.0,0
ANCHORVALE,SENGKANG,NORTH-EAST REGION,SHOPPING,0.0,0.0,0
ANCHORVALE,SENGKANG,NORTH-EAST REGION,VEHICLE,0.0,0.0,0
CHOA CHU KANG CENTRAL,CHOA CHU KANG,WEST REGION,APPAREL,0.0,0.0,0
CHOA CHU KANG CENTRAL,CHOA CHU KANG,WEST REGION,ARTS,0.0,0.0,0
CHOA CHU KANG CENTRAL,CHOA CHU KANG,WEST REGION,CAFE,0.0,0.0,0
CHOA CHU KANG CENTRAL,CHOA CHU KANG,WEST REGION,CLUBS,0.0,0.0,0
CHOA CHU KANG CENTRAL,CHOA CHU KANG,WEST REGION,DOCTOR,0.0,0.0,0
CHOA CHU KANG CENTRAL,CHOA CHU KANG,WEST REGION,PERSONAL_CARE,30.016666666666666,21.80666666666667,3
CHOA CHU KANG CENTRAL,CHOA CHU KANG,WEST REGION,RESTAURANT,0.0,0.0,0
CHOA CHU KANG CENTRAL,CHOA CHU KANG,WEST REGION,SCHOOL,0.0,0.0,0
CHOA CHU KANG CENTRAL,CHOA CHU KANG,WEST REGION,SHOPPING,0.0,0.0,0
CHOA CHU KANG CENTRAL,CHOA CHU KANG,WEST REGION,VEHICLE,0.0,0.0,0
TAMPINES EAST,TAMPINES,EAST REGION,APPAREL,0.0,0.0,0
TAMPINES EAST,TAMPINES,EAST REGION,ARTS,0.0,0.0,0
TAMPINES EAST,TAMPINES,EAST REGION,CAFE,38.903333333333336,47.083333333333336,3
TAMPINES EAST,TAMPINES,EAST REGION,CLUBS,0.0,0.0,0
TAMPINES EAST,TAMPINES,EAST REGION,DOCTOR,0.0,0.0,0
TAMPINES EAST,TAMPINES,EAST REGION,PERSONAL_CARE,22.020000000000003,7.865,2
TAMPINES EAST,TAMPINES,EAST REGION,RESTAURANT,23.263333333333332,23.576666666666668,3
TAMPINES EAST,TAMPINES,EAST REGION,SCHOOL,0.0,0.0,0
TAMPINES EAST,TAMPINES,EAST REGION,SHOPPING,34.88,28.65,1
TAMPINES EAST,TAMPINES,EAST REGION,VEHICLE,0.0,0.0,0
TANJONG PAGAR,DOWNTOWN CORE,CENTRAL REGION,APPAREL,0.0,0.0,0
TANJONG PAGAR,DOWNTOWN CORE,CENTRAL REGION,ARTS,0.0,0.0,0
TANJONG PAGAR,DOWNTOWN CORE,CENTRAL REGION,CAFE,26.80666666666667,24.026666666666667,3
TANJONG PAGAR,DOWNTOWN CORE,CENTRAL REGION,CLUBS,0.0,0.0,0
TANJONG PAGAR,DOWNTOWN CORE,CENTRAL REGION,DOCTOR,0.0,0.0,0
TANJONG PAGAR,DOWNTOWN CORE,CENTRAL REGION,PERSONAL_CARE,16.816666666666666,13.229999999999999,3
TANJONG PAGAR,DOWNTOWN CORE,CENTRAL REGION,RESTAURANT,24.55333333333333,11.076666666666668,3
TANJONG PAGAR,DOWNTOWN CORE,CENTRAL REGION,SCHOOL,0.0,0.0,0
TANJONG PAGAR,DOWNTOWN CORE,CENTRAL REGION,SHOPPING,18.0,16.195,2
TANJONG PAGAR,DOWNTOWN CORE,CENTRAL REGION,VEHICLE,0.0,0.0,0
WOODLANDS EAST,WOODLANDS,NORTH REGION,APPAREL,0.0,0.0,0
WOODLANDS EAST,WOODLANDS,NORTH REGION,ARTS,0.0,0.0,0
WOODLANDS EAST,WOODLANDS,NORTH REGION,CAFE,0.0,0.0,0
WOODLANDS EAST,WOODLANDS,NORTH REGION,CLUBS,0.0,0.0,0
WOODLANDS EAST,WOODLANDS,NORTH REGION,DOCTOR,0.0,0.0,0
WOODLANDS EAST,WOODLANDS,NORTH REGION,PERSONAL_CARE,0.0,0.0,0
WOODLANDS EAST,WOODLANDS,NORTH REGION,RESTAURANT,0.0,0.0,0
WOODLANDS EAST,WOODLANDS,NORTH REGION,SCHOOL,0.0,0.0,0
WOODLANDS EAST,WOODLANDS,NORTH REGION,SHOPPING,0.0,0.0,0
WOODLANDS EAST,WOODLANDS,NORTH REGION,VEHICLE,0.0,0.0,0
