subzone,planning_area,region,venue_type,rank,venue_name,venue_address,venue_id,avg_weekday_footfall,avg_weekend_footfall
TANJONG PAGAR,DOWNTOWN CORE,CENTRAL REGION,ARTS,0,No venues found,,,0,0
TANJONG PAGAR,DOWNTOWN CORE,CENTRAL REGION,APPAREL,0,No venues found,,,0,0
TANJONG PAGAR,DOWNTOWN CORE,CENTRAL REGION,CAFE,1,Two Men Bagel House Tanjong Pagar,16 Enggor St #01-12 Icon Village Altez Singapore 079717,ven_306244374b326a4653745552456a325a736d5437685a704a496843,20.71,25.73
TANJONG PAGAR,DOWNTOWN CORE,CENTRAL REGION,CAFE,2,JAPAN RAIL CAFE,5 Wallich St #01 - 20 Guoco Tower Singapore 078883,ven_514633734b59326956537552456a325a4d78527763354a4a496843,28.38,20.52
TANJONG PAGAR,DOWNTOWN CORE,CENTRAL REGION,CAFE,3,CAFE KREAMS,32 Maxwell Rd #01-07 Maxwell Chambers Singapore 069115,ven_6742496b33324739674d5752456a325a3045723332334d4a496843,31.33,25.83
TANJONG PAGAR,DOWNTOWN CORE,CENTRAL REGION,CLUBS,0,No venues found,,,0,0
TANJONG PAGAR,DOWNTOWN CORE,CENTRAL REGION,DOCTOR,0,No venues found,,,0,0
TANJONG PAGAR,DOWNTOWN CORE,CENTRAL REGION,RESTAURANT,1,BYD by 1826 | Tanjong Pagar,Guoco Tower 5 Wallich St #01-17/18 Singapore 078883,ven_516f645542764e56346a6352456a325a5135623157634d4a496843,37.33,21.25
TANJONG PAGAR,DOWNTOWN CORE,CENTRAL REGION,RESTAURANT,2,Spicy Wife Nasi Lemak @ Amoy Street Food Centre,"7 Maxwell Rd Amoy St Food Centre, 02-119 Singapore 069111",ven_4d4d446d53517756566e6252456a325a6748546c6d38344a496843,9.29,0
TANJONG PAGAR,DOWNTOWN CORE,CENTRAL REGION,RESTAURANT,3,The Daily Cut (Tanjong Pagar Centre),7 Wallich St #B2 - 16 Guoco Tower Singapore 078884,ven_556f414e413146414c426652456a325a4d684d714764574a496843,27.04,11.98
TANJONG PAGAR,DOWNTOWN CORE,CENTRAL REGION,SHOPPING,1,Fun Toast,7 Wallich St #B2 - 17 Guoco Tower Singapore 078884,ven_6f6a7734492d5547394f6652456a325a4d424a45527a694a496843,19,21.77
TANJONG PAGAR,DOWNTOWN CORE,CENTRAL REGION,SHOPPING,2,Randy Indulgence Acai Bar (Guoco Tower),"7 Wallich Street, Guoco Tower B1 #10 Singapore 078884",ven_6b6369346968577342475452456a325a4d78494454634f4a496843,17,10.62
