subzone,planning_area,region,min_longitude,max_longitude,min_latitude,max_latitude
DEPOT ROAD,BUKIT MERAH,CENTRAL REGION,103.80125689818,103.817736334915,1.28003747873544,1.28410255037094
BUKIT MERAH,BUKIT MERAH,CENTRAL REGION,103.813055974868,103.823718606766,1.27882087293724,1.28514928322875
CHINATOWN,OUTRAM,CENTRAL REGION,103.839596021287,103.849187864849,1.27415461218813,1.28524827271457
PHILLIP,DOWNTOWN CORE,CENTRAL REGION,103.847183312105,103.849947738611,1.28390796817628,1.28641468933831
RAFFLES PLACE,DOWNTOWN CORE,CENTRAL REGION,103.848523006124,103.853211868892,1.28077114754531,1.28650593484075
CHINA SQUARE,OUTRAM,CENTRAL REGION,103.844002510241,103.8496564545,1.28220961254215,1.28651667838662
TIONG BAHRU,BUKIT MERAH,CENTRAL REGION,103.827487366926,103.835974522656,1.27907063158226,1.28740031867398
BAYFRONT SUBZONE,DOWNTOWN CORE,CENTRAL REGION,103.855213569956,103.861589647121,1.27804260794226,1.28788844095864
TIONG BAHRU STATION,BUKIT MERAH,CENTRAL REGION,103.823718606766,103.829490502174,1.28001346333425,1.28812398702608
CLIFFORD PIER,DOWNTOWN CORE,CENTRAL REGION,103.85200343548,103.858205043896,1.28172200828119,1.28821146738489
MARINA SOUTH,MARINA SOUTH,CENTRAL REGION,103.858426183958,103.872516358993,1.27283767831159,1.28884988006674
NICOLL,DOWNTOWN CORE,CENTRAL REGION,103.859423397836,103.869081503756,1.29386665174455,1.30436397576577
MARINA EAST,MARINA EAST,CENTRAL REGION,103.864452051454,103.881090228388,1.28045855477327,1.29552193193143
INSTITUTION HILL,RIVER VALLEY,CENTRAL REGION,103.832593877108,103.84214056639,1.2909668660564,1.29629142391699
ROBERTSON QUAY,SINGAPORE RIVER,CENTRAL REGION,103.83033814742,103.843746336317,1.28686010484024,1.29631112454712
JURONG ISLAND AND BUKOM,WESTERN ISLANDS,WEST REGION,103.653725125507,103.779073113153,1.21621458981212,1.2973631724667
FORT CANNING,MUSEUM,CENTRAL REGION,103.841936624117,103.849572174546,1.29008249009334,1.29741977815719
PEARL'S HILL,OUTRAM,CENTRAL REGION,103.834758273172,103.845304498129,1.28174399041853,1.28919114698307
BOAT QUAY,SINGAPORE RIVER,CENTRAL REGION,103.845304498129,103.85081600412,1.28543499416558,1.28981919274558
HENDERSON HILL,BUKIT MERAH,CENTRAL REGION,103.81896841882,103.826213044573,1.28188522231965,1.29116924028884
REDHILL,BUKIT MERAH,CENTRAL REGION,103.814158838377,103.819871719961,1.28375729134489,1.29152266860862
ALEXANDRA HILL,BUKIT MERAH,CENTRAL REGION,103.801590136596,103.816145692633,1.28305666218929,1.29249212331194
BUKIT HO SWEE,BUKIT MERAH,CENTRAL REGION,103.825512734945,103.83506234537,1.28601217953523,1.29271979063466
CLARKE QUAY,SINGAPORE RIVER,CENTRAL REGION,103.84120988306,103.848271093541,1.28651667838662,1.29303528930324
PASIR PANJANG 1,QUEENSTOWN,CENTRAL REGION,103.76737037986,103.787744233852,1.27833216350166,1.29371674538228
QUEENSWAY,QUEENSTOWN,CENTRAL REGION,103.792792076135,103.804354633046,1.28410255037094,1.29377443881266
MARINA EAST (MP),MARINE PARADE,CENTRAL REGION,103.875420895316,103.898803515157,1.28483922420557,1.29746210637663
SUDONG,WESTERN ISLANDS,WEST REGION,103.707106320408,103.742581079737,1.15869870063221,1.21349073208073
SEMAKAU,WESTERN ISLANDS,WEST REGION,103.755346532115,103.801554897105,1.18829781291127,1.21741064173668
SOUTHERN GROUP,SOUTHERN ISLANDS,CENTRAL REGION,103.831680834872,103.862762922041,1.21232570435503,1.24555510435752
SENTOSA,SOUTHERN ISLANDS,CENTRAL REGION,103.806698403633,103.848423497612,1.2378010518099,1.26020056157657
CITY TERMINALS,BUKIT MERAH,CENTRAL REGION,103.823734249057,103.852069900152,1.25480839877668,1.27510146874389
ANSON,DOWNTOWN CORE,CENTRAL REGION,103.841371815783,103.846137640401,1.27256375557071,1.27569373963363
STRAITS VIEW,STRAITS VIEW,CENTRAL REGION,103.851564418279,103.866428535583,1.26469941314553,1.27804260794226
MARITIME SQUARE,BUKIT MERAH,CENTRAL REGION,103.799210086843,103.826482939285,1.25831209892566,1.27833156286839
TELOK BLANGAH RISE,BUKIT MERAH,CENTRAL REGION,103.819524981353,103.829045796678,1.26986805549015,1.27862964965724
TANJONG PAGAR,DOWNTOWN CORE,CENTRAL REGION,103.843823603465,103.848146553957,1.27338758367636,1.27916043190735
