subzone,sub_category,listing_type,average_price
CECIL,generic_office,rent,25822.05
CITY HALL,generic_office,rent,9279.00
KALLANG WAY,generic_office,rent,15375.00
BUKIT BATOK SOUTH,fnb,rent,4700.00
KAMPONG TIONG BAHRU,generic_office,rent,8000.00
HILLVIEW,general_industrial,rent,6800.00
KALLANG WAY,warehouse,rent,7096.33
KAMPONG GLAM,retail_shop,rent,8299.71
XILIN,generic_office,rent,29358.91
DHOBY GHAUT,generic_office,rent,100450.00
CHINATOWN,retail_shop,rent,13411.56
BOULEVARD,generic_retail,rent,9444.00
BOULEVARD,retail_medical_suite,rent,6000.00
CHINATOWN,generic_office,rent,6220.00
ALEXANDRA HILL,retail_shop,rent,1900.00
KAMPONG UBI,general_industrial,rent,5390.75
BEDOK NORTH,retail_shop,rent,3500.00
ONE NORTH,generic_office,rent,1894.00
UPPER THOMSON,generic_office,rent,1800.00
CRAWFORD,retail_shop,rent,3497.00
TAMPINES EAST,generic_office,rent,9169.33
JOO SENG,general_industrial,rent,11038.67
SERANGOON NORTH IND ESTATE,general_industrial,rent,4748.50
KATONG,retail_shop,rent,5500.00
MOULMEIN,generic_office,rent,9591.67
BRADDELL,generic_office,rent,11213.50
PEARL'S HILL,retail_medical_suite,rent,5680.00
CHANGI POINT,retail_shop,rent,6650.00
BUKIT MERAH,generic_office,rent,3744.60
KALLANG WAY,factory,rent,3609.20
TUKANG,warehouse,rent,39000.00
PASIR PANJANG 1,retail_shop,rent,4566.67
TAI SENG,generic_office,rent,57499.50
WOODLANDS REGIONAL CENTRE,generic_office,rent,18325.12
ALJUNIED,factory,rent,12700.00
BOULEVARD,retail_shop,rent,8677.78
YUHUA WEST,retail_shop,rent,5150.00
LAVENDER,retail_shop,rent,8162.22
CORONATION ROAD,retail_shop,rent,10000.00
LITTLE INDIA,retail_shop,rent,1600.00
ALJUNIED,retail_shop,rent,8154.17
BUKIT MERAH,retail_shop,rent,9900.00
BOULEVARD,generic_office,rent,3909.41
NORTHLAND,warehouse,rent,25546.67
PANDAN,general_industrial,rent,1945.00
ANAK BUKIT,retail_shop,rent,1250.00
RESERVOIR VIEW,dormitory,rent,590.00
WOODLANDS EAST,retail_shop,rent,750.00
GEYLANG EAST,generic_office,sale,1196666.67
PEARL'S HILL,generic_office,rent,13087.08
KALLANG WAY,general_industrial,rent,4502.44
PANDAN,factory,rent,9991.29
BOAT QUAY,generic_office,rent,6272.86
GALI BATU,factory,rent,4000.00
TOA PAYOH WEST,generic_office,rent,23268.00
TAI SENG,factory,rent,18987.50
MOULMEIN,generic_office,sale,2000000.00
ALEXANDRA HILL,generic_office,rent,4360.71
NORTHLAND,general_industrial,sale,800000.00
JURONG RIVER,warehouse,rent,26233.33
KALLANG BAHRU,generic_office,rent,15563.91
FARRER PARK,retail_shop,sale,8300000.00
TUAS VIEW,general_industrial,rent,12600.00
JOO KOON,general_industrial,rent,26000.00
TOH TUCK,warehouse,rent,33100.00
TUAS VIEW,factory,rent,10375.00
TUAS VIEW EXTENSION,factory,rent,35137.00
TUAS VIEW EXTENSION,general_industrial,rent,43000.00
VICTORIA,retail_shop,sale,1327000.00
VICTORIA,generic_office,rent,12447.83
BUKIT HO SWEE,retail_shop,rent,1900.00
CHONG BOON,retail_shop,rent,7650.00
TAMPINES NORTH,general_industrial,rent,5765.00
KAMPONG TIONG BAHRU,retail_fnb,rent,16800.00
