id,subzone,planning_area,venue_type,competitor_score,competitor_density,created_at,competitor_count,underserved_score,overall_score
3654,DEPOT ROAD,BUKIT MERAH,ARTS,5.91,unknown,2025-04-18 14:18:56.788709,,25.31,42.61
3655,DEPOT ROAD,BUKIT MERAH,APPAREL,23.08,unknown,2025-04-18 14:18:56.849003,,25.31,30.57
3656,DEPOT ROAD,BUKIT MERAH,CAFE,87.72,unknown,2025-04-18 14:18:56.903266,,25.31,39.84
3657,DEPOT ROAD,BUKIT MERAH,CLUBS,83.77,unknown,2025-04-18 14:18:56.939028,,25.31,42.61
3658,DEPOT ROAD,BUKIT MERAH,DOCTOR,76.27,unknown,2025-04-18 14:18:56.992467,,25.31,30.57
3659,DEPOT ROAD,BUKIT MERAH,RESTAURANT,77.87,medium,2025-04-18 14:18:57.053192,1,12.66,31.36
3660,DEPOT ROAD,BUKIT MERAH,SHOPPING,27.25,high,2025-04-18 14:18:57.108239,2,8.44,34.15
3661,DEPOT ROAD,BUKIT MERAH,PERSONAL_CARE,70.53,unknown,2025-04-18 14:18:57.16487,,25.31,30.57
3662,DEPOT ROAD,BUKIT MERAH,SCHOOL,66.50,medium,2025-04-18 14:18:57.208434,1,12.66,29.49
3663,DEPOT ROAD,BUKIT MERAH,VEHICLE,72.39,unknown,2025-04-18 14:18:57.267148,,25.31,30.57
3664,DEPOT ROAD,BUKIT MERAH,SPORTS_COMPLEX,99.69,unknown,2025-04-18 14:18:57.325348,,25.31,42.61
3665,BUKIT MERAH,BUKIT MERAH,ARTS,17.63,unknown,2025-04-18 14:18:57.388259,,6.27,35.95
3666,BUKIT MERAH,BUKIT MERAH,APPAREL,56.90,unknown,2025-04-18 14:18:57.442179,,6.27,23.91
3667,BUKIT MERAH,BUKIT MERAH,CAFE,52.46,unknown,2025-04-18 14:18:57.49187,,6.27,33.18
3668,BUKIT MERAH,BUKIT MERAH,CLUBS,51.22,unknown,2025-04-18 14:18:57.533389,,6.27,35.95
3669,BUKIT MERAH,BUKIT MERAH,DOCTOR,10.63,unknown,2025-04-18 14:18:57.577694,,6.27,23.91
3670,BUKIT MERAH,BUKIT MERAH,RESTAURANT,59.12,unknown,2025-04-18 14:18:57.628193,,6.27,20.1
3671,BUKIT MERAH,BUKIT MERAH,SHOPPING,23.38,unknown,2025-04-18 14:18:57.672955,,6.27,23.91
3672,BUKIT MERAH,BUKIT MERAH,PERSONAL_CARE,42.78,unknown,2025-04-18 14:18:57.730393,,6.27,23.91
3673,BUKIT MERAH,BUKIT MERAH,SCHOOL,19.52,unknown,2025-04-18 14:18:57.784301,,6.27,20.07
3674,BUKIT MERAH,BUKIT MERAH,VEHICLE,40.93,unknown,2025-04-18 14:18:57.81854,,6.27,23.91
3675,BUKIT MERAH,BUKIT MERAH,SPORTS_COMPLEX,46.16,unknown,2025-04-18 14:18:57.871939,,6.27,35.95
3676,CHINATOWN,OUTRAM,ARTS,7.26,unknown,2025-04-18 14:18:57.909153,,43.49,48.97
3677,CHINATOWN,OUTRAM,APPAREL,26.60,unknown,2025-04-18 14:18:57.951319,,43.49,36.94
3678,CHINATOWN,OUTRAM,CAFE,63.85,unknown,2025-04-18 14:18:58.012391,,43.49,46.2
3679,CHINATOWN,OUTRAM,CLUBS,21.76,unknown,2025-04-18 14:18:58.061019,,43.49,48.97
3680,CHINATOWN,OUTRAM,DOCTOR,55.25,unknown,2025-04-18 14:18:58.122803,,43.49,36.94
3681,CHINATOWN,OUTRAM,RESTAURANT,81.81,unknown,2025-04-18 14:18:58.207702,,43.49,33.13
3682,CHINATOWN,OUTRAM,SHOPPING,19.51,unknown,2025-04-18 14:18:58.292161,,43.49,36.94
3683,CHINATOWN,OUTRAM,PERSONAL_CARE,80.64,unknown,2025-04-18 14:18:58.393793,,43.49,36.94
3684,CHINATOWN,OUTRAM,SCHOOL,34.79,unknown,2025-04-18 14:18:58.534568,,43.49,33.1
3685,CHINATOWN,OUTRAM,VEHICLE,40.11,unknown,2025-04-18 14:18:58.572471,,43.49,36.94
