id,subzone,planning_area,hdb_2_room,hdb_3_room,hdb_4_room,hdb_5_room_ea,condominiums_and_apartments,landed_properties,other_types_properties
1,ANG MO KIO TOWN CENTRE,ANG MO KIO,-,460,730,"2,060","1,730",-,40
2,CHENG SAN,ANG MO KIO,840,"14,740","8,690","5,350",-,-,160
3,CHONG BOON,ANG MO KIO,"1,840","13,500","8,810","3,520",-,-,230
4,KEBUN BAHRU,ANG MO KIO,"1,920","11,750","6,460","2,320",-,"1,170",290
5,SEMBAWANG HILLS,ANG MO KIO,-,-,-,-,160,"6,660",70
6,SHANGRI-LA,ANG MO KIO,"3,280","7,790","5,300","1,780",-,300,60
7,TAGORE,ANG MO KIO,-,-,-,-,"2,630","5,530",180
8,TOWNSVILLE,ANG MO KIO,"1,610","7,400","10,540","4,150",-,-,80
9,YIO CHU KANG,ANG MO KIO,-,-,-,-,-,-,-
10,YIO CHU KANG EAST,ANG MO KIO,-,-,-,-,"1,690","2,300",100
11,YIO CHU KANG NORTH,ANG MO KIO,-,-,-,-,-,-,-
12,YIO CHU KANG WEST,ANG MO KIO,"3,160","8,120","5,560","3,450","5,720",440,90
13,BAYSHORE,BEDOK,-,-,-,-,"6,870",460,140
14,BEDOK NORTH,BEDOK,"3,750","34,660","26,630","11,430","4,220","4,670",580
15,BEDOK RESERVOIR,BEDOK,-,"3,220","9,120","6,720","6,280",-,60
16,BEDOK SOUTH,BEDOK,"1,740","9,710","14,460","7,410","5,650","11,770",450
17,FRANKEL,BEDOK,150,-,-,-,"13,640","19,130",650
18,KAKI BUKIT,BEDOK,430,"6,730","16,560","15,890",240,710,260
19,KEMBANGAN,BEDOK,"3,570","7,750","5,600","7,540","4,970","8,420",590
20,SIGLAP,BEDOK,-,-,-,-,"6,830",-,110
21,BISHAN EAST,BISHAN,300,"2,070","11,940","13,050","1,290",-,170
22,MARYMOUNT,BISHAN,-,-,"15,080","9,390","4,060","2,890",110
23,UPPER THOMSON,BISHAN,870,"3,360","4,460","4,610","8,870","7,880",300
24,LIU FANG,BOON LAY,-,-,-,-,-,-,-
25,SAMULUN,BOON LAY,-,-,-,-,-,-,-
26,SHIPYARD,BOON LAY,-,-,-,-,-,-,-
27,TUKANG,BOON LAY,-,-,-,-,-,-,-
28,BRICKWORKS,BUKIT BATOK,-,-,-,-,-,-,-
29,BUKIT BATOK CENTRAL,BUKIT BATOK,"1,290","4,160","11,520","7,610","1,430",-,60
30,BUKIT BATOK EAST,BUKIT BATOK,-,"6,510","5,590","2,340",-,-,140
31,BUKIT BATOK SOUTH,BUKIT BATOK,-,-,"6,260","5,710","1,260",680,40
32,BUKIT BATOK WEST,BUKIT BATOK,-,"5,580","6,090","3,470",-,-,60
33,GOMBAK,BUKIT BATOK,-,-,"4,060","2,800",250,"2,620",90
34,GUILIN,BUKIT BATOK,-,"3,670","2,410","2,370","4,640",-,40
35,HILLVIEW,BUKIT BATOK,-,-,-,-,"15,730","2,320",160
36,HONG KAH NORTH,BUKIT BATOK,-,"8,110","14,250","4,450","1,270",-,260
37,ALEXANDRA HILL,BUKIT MERAH,"4,750","2,850","4,170","3,380",-,-,510
38,ALEXANDRA NORTH,BUKIT MERAH,-,-,-,-,990,-,10
39,BUKIT HO SWEE,BUKIT MERAH,"4,190","6,070","3,460","1,970",520,-,100
40,BUKIT MERAH,BUKIT MERAH,-,160,10,980,-,-,40
41,CITY TERMINALS,BUKIT MERAH,-,-,-,-,-,-,-
42,DEPOT ROAD,BUKIT MERAH,-,-,"1,760","2,240","1,190",-,-
43,EVERTON PARK,BUKIT MERAH,620,"1,940","2,240","3,520",410,190,100
44,HENDERSON HILL,BUKIT MERAH,"4,750","4,090","2,880",960,160,-,40
45,KAMPONG TIONG BAHRU,BUKIT MERAH,"2,330","4,630","2,050","1,270",-,-,190
46,MARITIME SQUARE,BUKIT MERAH,-,-,-,-,"2,300",100,160
