id,subzone,planning_area,population_chinese_male,population_chinese_female,population_malays_male,population_malays_female,population_indians_male,population_indians_female,population_others_male,population_others_female,subzone_size,population_density
940,TENGEH,TUAS,-,-,-,-,-,-,-,-,2.251,0.0
668,LIU FANG,BOON LAY,-,-,-,-,-,-,-,-,2.339,0.0
669,SAMULUN,BOON LAY,-,-,-,-,-,-,-,-,1.929,0.0
670,SHIPYARD,BOON LAY,-,-,-,-,-,-,-,-,2.104,0.0
671,TUKANG,BOON LAY,-,-,-,-,-,-,-,-,1.881,0.0
672,BRICKWORKS,BUKIT BATOK,-,-,-,-,-,-,-,-,1.232,0.0
673,BUKIT BATOK CENTRAL,BUKIT BATOK,9700,10110,1580,1660,1220,1190,270,320,0.8003,12520.3
674,BUKIT BATOK EAST,BUKIT BATOK,4580,4750,1590,1530,970,840,150,170,0.3802,12493.4
675,BUKIT BATOK SOUTH,BUKIT BATOK,5120,5340,760,810,800,750,190,180,1.806,2934.7
676,BUKIT BATOK WEST,BUKIT BATOK,5270,5480,1200,1230,860,850,130,170,0.5275,10312.8
677,GOMBAK,BUKIT BATOK,4110,4240,310,320,320,310,100,120,2.456,1722.3
678,GUILIN,BUKIT BATOK,4500,4800,920,1000,750,720,220,220,1.085,4350.2
679,HILLVIEW,BUKIT BATOK,7580,8170,150,190,550,590,510,470,1.994,4037.1
680,HONG KAH NORTH,BUKIT BATOK,9190,9140,3180,3140,1570,1420,310,380,0.8592,11138.3
681,ALEXANDRA HILL,BUKIT MERAH,5570,5770,1170,1130,860,840,120,190,1.03,5592.2
682,ALEXANDRA NORTH,BUKIT MERAH,340,410,-,10,60,80,50,50,0.2937,1327.9
683,BUKIT HO SWEE,BUKIT MERAH,6310,6740,780,730,700,640,190,210,0.5517,11818.0
684,BUKIT MERAH,BUKIT MERAH,490,530,10,10,70,60,10,10,0.4117,1214.5
685,CITY TERMINALS,BUKIT MERAH,-,-,-,-,-,-,-,-,3.444,0.0
686,DEPOT ROAD,BUKIT MERAH,2050,2270,70,80,240,250,120,120,0.4423,4906.2
687,EVERTON PARK,BUKIT MERAH,3230,3680,330,340,510,510,200,220,0.6357,5427.1
688,HENDERSON HILL,BUKIT MERAH,4520,4640,1010,1000,710,660,130,200,0.5952,7930.1
689,KAMPONG TIONG BAHRU,BUKIT MERAH,4000,4060,530,520,610,540,80,130,0.3653,11305.8
690,MARITIME SQUARE,BUKIT MERAH,840,960,20,20,120,140,230,230,2.663,401.8
691,REDHILL,BUKIT MERAH,4730,5140,500,510,520,490,150,180,0.3876,12667.7
692,SINGAPORE GENERAL HOSPITAL,BUKIT MERAH,-,-,-,-,-,-,-,-,0.533,0.0
693,TELOK BLANGAH DRIVE,BUKIT MERAH,5930,6610,670,680,900,840,150,230,1.455,4233.7
694,TELOK BLANGAH RISE,BUKIT MERAH,5330,5850,380,380,800,790,130,160,0.5335,10290.5
695,TELOK BLANGAH WAY,BUKIT MERAH,4000,4050,720,640,560,510,80,140,0.2768,14956.6
