id,subzone,planning_area,region,latitude,longitude,original_type,rank,venue_name,venue_address,venue_id,avg_weekday_footfall,avg_weekend_footfall,created_at,updated_at,venue_type
1370,COMPASSVALE,SENGKANG,NORTH-EAST REGION,1.3830173,103.8918855,commercial.clothing,null,Uniqlo,"Uniqlo, 70 Compassvale Bow, Singapore 544692, Singapore",null,null,null,2025-04-12 16:20:28.647465,2025-04-12 16:20:28.647465,APPAREL
2756,SENGKANG TOWN CENTRE,SENGKANG,NORTH-EAST REGION,1.3918825,103.8953634,commercial.food_and_drink,null,Moji Bakery,"Moji Bakery, Sengkang Square, Singapore 545078, Singapore",null,null,null,2025-04-12 16:24:42.454988,2025-04-12 16:24:42.454988,RESTAURANT
2758,COMPASSVALE,SENGKANG,NORTH-EAST REGION,1.3861334,103.8932891,commercial.food_and_drink,null,Icakes,"Icakes, 279 Sengkang East Avenue, Singapore 540279, Singapore",null,null,null,2025-04-12 16:24:42.512831,2025-04-12 16:24:42.512831,RESTAURANT
2760,SENGKANG TOWN CENTRE,SENGKANG,NORTH-EAST REGION,1.3921172,103.8949348,commercial.food_and_drink,null,BreadTalk,"BreadTalk, Sengkang Square, Singapore 545078, Singapore",null,null,null,2025-04-12 16:24:42.570028,2025-04-12 16:24:42.570028,RESTAURANT
2761,SENGKANG TOWN CENTRE,SENGKANG,NORTH-EAST REGION,1.3922735,103.8950622,commercial.food_and_drink,null,The Jelly Hearts,"The Jelly Hearts, 1 Sengkang Square, Singapore 545078, Singapore",null,null,null,2025-04-12 16:24:42.600412,2025-04-12 16:24:42.600412,RESTAURANT
2762,SENGKANG TOWN CENTRE,SENGKANG,NORTH-EAST REGION,1.3917941,103.8951906,commercial.food_and_drink,null,Polar,"Polar, Sengkang Bus Interchange, Singapore 545077, Singapore",null,null,null,2025-04-12 16:24:42.627656,2025-04-12 16:24:42.627656,RESTAURANT
2763,SENGKANG TOWN CENTRE,SENGKANG,NORTH-EAST REGION,1.3919784,103.8948799,commercial.food_and_drink,null,Four Leaves,"Four Leaves, Sengkang Square, Singapore 545078, Singapore",null,null,null,2025-04-12 16:24:42.662248,2025-04-12 16:24:42.662248,RESTAURANT
2764,SENGKANG TOWN CENTRE,SENGKANG,NORTH-EAST REGION,1.3921244,103.8949987,commercial.food_and_drink,null,Famous Amos,"Famous Amos, Sengkang Square, Singapore 545078, Singapore",null,null,null,2025-04-12 16:24:42.691742,2025-04-12 16:24:42.691742,RESTAURANT
2765,SENGKANG TOWN CENTRE,SENGKANG,NORTH-EAST REGION,1.3919456,103.8951001,commercial.food_and_drink,null,Annabella Patisserie,"Annabella Patisserie, Sengkang Square, Singapore 545078, Singapore",null,null,null,2025-04-12 16:24:42.722217,2025-04-12 16:24:42.722217,RESTAURANT
7059,SENGKANG TOWN CENTRE,SENGKANG,NORTH-EAST REGION,1.3889211,103.8929112,childcare,null,Little Footprints Preschool Sengkang 201,"Little Footprints Preschool Sengkang 201, 201A Compassvale Drive, Singapore 541201, Singapore",null,null,null,2025-04-12 16:30:00.277941,2025-04-12 16:30:00.277941,SCHOOL
7060,RIVERVALE,SENGKANG,NORTH-EAST REGION,1.3842274,103.9017057,childcare,null,Little World Childcare and Development Centre,"Little World Childcare and Development Centre, 113 Rivervale Walk, Singapore 540113, Singapore",null,null,null,2025-04-12 16:30:00.310147,2025-04-12 16:30:00.310147,SCHOOL
7062,SENGKANG TOWN CENTRE,SENGKANG,NORTH-EAST REGION,1.3864533,103.8968032,childcare,null,PCF Sparkletots @ Sengkang Central Blk 206A,"PCF Sparkletots @ Sengkang Central Blk 206A, 206A Compassvale Lane, Singapore 541206, Singapore",null,null,null,2025-04-12 16:30:00.392811,2025-04-12 16:30:00.392811,SCHOOL
7063,SENGKANG TOWN CENTRE,SENGKANG,NORTH-EAST REGION,1.3883891,103.8971317,childcare,null,Spright Academy Sengkang,"Spright Academy Sengkang, 223A Compassvale Walk, Singapore 541223, Singapore",null,null,null,2025-04-12 16:30:00.422099,2025-04-12 16:30:00.422099,SCHOOL
7067,SENGKANG TOWN CENTRE,SENGKANG,NORTH-EAST REGION,1.3967804,103.8963126,childcare,null,Agape Little Uni @ Compassvale Pte Ltd,"Agape Little Uni @ Compassvale Pte Ltd, 293B Compassvale Crescent, Singapore 542293, Singapore",null,null,null,2025-04-12 16:30:00.555971,2025-04-12 16:30:00.555971,SCHOOL
7086,SENGKANG TOWN CENTRE,SENGKANG,NORTH-EAST REGION,1.3882905,103.9013792,childcare,null,My First Skool,"My First Skool, Punggol Road, Singapore 540230, Singapore",null,null,null,2025-04-12 16:30:01.230667,2025-04-12 16:30:01.230667,SCHOOL
2,SENGKANG TOWN CENTRE,SENGKANG,NORTH-EAST REGION,1.3928356,103.8938986,activity.community_center,null,Sengkang Community Club,"Sengkang Community Club, 2 Sengkang Square, Singapore 545025, Singapore",null,null,null,2025-04-13 00:05:59,2025-04-13 00:06:00,CLUBS
70,SENGKANG TOWN CENTRE,SENGKANG,NORTH-EAST REGION,1.3890717,103.8973868,activity.community_center,null,Sengkang Family Service Centre,"Sengkang Family Service Centre, 223D Compassvale Walk, Singapore 544223, Singapore",null,null,null,2025-04-12 16:15:23.897812,2025-04-12 16:15:23.897812,CLUBS
130,BEDOK SOUTH,BEDOK,EAST REGION,1.32428785,103.936065986497,activity.community_center,null,Bedok Community Centre,"Bedok Community Centre, 850 New Upper Changi Road, Singapore 467352, Singapore",null,null,null,2025-04-12 16:15:30.594604,2025-04-12 16:15:30.594604,CLUBS
131,SIMEI,TAMPINES,EAST REGION,1.34498415,103.955139765624,activity.community_center,null,Changi Simei Community Club,"Changi Simei Community Club, 10 Simei Street 2, Singapore 529915, Singapore",null,null,null,2025-04-12 16:15:30.660208,2025-04-12 16:15:30.660208,CLUBS
